epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9723,2.24403,6.59166,2.78158,0.01322,0.97761,0.41318,0.26407,1.75873,7.72356,2.90851,0.000365329,0.000365329,0.000365329
2,119.51,2.04978,3.84372,2.50949,0.55401,0.5578,0.63366,0.40462,2.07691,4.20973,3.16576,0.000721096,0.000721096,0.000721096
3,154.931,2.06037,3.23918,2.49396,0.63693,0.6522,0.71965,0.4558,2.39149,3.13346,3.35167,0.0010622,0.0010622,0.0010622
4,192.7,2.03309,2.81818,2.48134,0.73766,0.78312,0.83925,0.53129,2.09305,1.85508,3.15844,0.00104501,0.00104501,0.00104501
5,228.598,2.02085,2.41745,2.45125,0.71602,0.80117,0.84263,0.55838,1.88212,1.78327,2.75549,0.00102301,0.00102301,0.00102301
6,265.445,1.95873,2.08961,2.39822,0.78718,0.84611,0.9048,0.59927,1.9669,1.57464,2.81485,0.00100101,0.00100101,0.00100101
7,302.148,1.91333,1.90685,2.38968,0.71032,0.831,0.85257,0.60416,1.7795,1.62883,2.74243,0.000979013,0.000979013,0.000979013
8,338.276,1.85595,1.76512,2.33152,0.80171,0.8624,0.92699,0.66461,1.65058,1.22347,2.46457,0.000957015,0.000957015,0.000957015
9,375.629,1.82884,1.62919,2.3386,0.80369,0.89198,0.92077,0.65641,1.61736,1.22434,2.41833,0.000935018,0.000935018,0.000935018
10,411.375,1.81366,1.53594,2.31546,0.82672,0.90626,0.92824,0.66791,1.60213,1.16976,2.43339,0.00091302,0.00091302,0.00091302
11,448.037,1.81195,1.49617,2.30538,0.78199,0.89416,0.9085,0.65628,1.66686,1.13837,2.55384,0.000891022,0.000891022,0.000891022
12,483.205,1.78361,1.45859,2.30267,0.87285,0.91382,0.95203,0.71149,1.54661,1.02541,2.38359,0.000869024,0.000869024,0.000869024
13,519.908,1.76328,1.37517,2.28714,0.85792,0.89177,0.94352,0.69753,1.57446,1.02291,2.46163,0.000847026,0.000847026,0.000847026
14,555.663,1.7641,1.32869,2.27047,0.88524,0.92584,0.9601,0.72121,1.49235,0.92558,2.31938,0.000825029,0.000825029,0.000825029
15,592.297,1.74755,1.28737,2.25735,0.87433,0.90319,0.95635,0.71535,1.55668,0.90891,2.44699,0.000803031,0.000803031,0.000803031
16,628.172,1.69957,1.25721,2.2394,0.89402,0.90002,0.95302,0.72583,1.4708,0.8897,2.30228,0.000781033,0.000781033,0.000781033
17,664.944,1.68843,1.23017,2.22658,0.89459,0.91758,0.9588,0.71204,1.52419,0.9285,2.31584,0.000759035,0.000759035,0.000759035
18,700.02,1.69063,1.211,2.2274,0.89444,0.91866,0.95507,0.73237,1.43254,0.89289,2.24244,0.000737037,0.000737037,0.000737037
19,736.693,1.66359,1.18308,2.2166,0.88902,0.93129,0.96088,0.74749,1.40414,0.8565,2.22155,0.00071504,0.00071504,0.00071504
20,771.599,1.64461,1.16451,2.20212,0.91078,0.93279,0.97661,0.75322,1.4146,0.81833,2.20515,0.000693042,0.000693042,0.000693042
